TAX-595494	Tolumonas auensis
GO:0047559	3-dehydro-L-gulonate 2-dehydrogenase activity
GO:0007031	peroxisome organization
TAX-84377	Brachyspira intermedia
TAX-1053194	Bacillus cereus
GO:0015594	putrescine-importing ATPase activity
TAX-887901	Porphyromonas catoniae
PWY-6787	flavonoid biosynthesis (in equisetum)
GO:1904680	peptide transmembrane transporter activity
TAX-221235	candidate division SR1
GO:1990097	SeqA-DNA complex
Pfam-PF10730.5	DUF2521
Pfam-Entry-PF04268.8	SoxG
TAX-1457153	Chlamydia gallinacea
Retinals	a retinal
PWY-7616	methanol oxidation to carbon dioxide
TAX-180675	Salvia splendens
GO:0009085	lysine biosynthetic process
TAX-1122623	Ottowia thiooxydans
GO:0015417	polyamine-transporting ATPase activity
Pfam-Entry-PF03007.12	WES_acyltransf
GO:0008109	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity
Pfam-Entry-PF01229.13	Glyco_hydro_39
FATTY-ACYLS	a fatty acyl
PWY-6330	acetaldehyde biosynthesis II
GO:0019439	aromatic compound catabolic process
TAX-28114	Porphyromonas levii
TAX-171674	Inquilinus limosus
Pfam-PF09348.6	DUF1990
GO:0001664	G-protein coupled receptor binding
PWYG-321	mycolate biosynthesis
Pfam-Entry-PF14155.2	DUF4307
GO:0016211	ammonia ligase activity
TAX-599651	Bermanella
TAX-65555	Desulfocapsa sulfexigens
Sulfatase-L-cysteine	a [sulfatase]-L-cysteine
Pfam-Entry-PF00325.16	Crp
GO:0070689	L-threonine catabolic process to propionate
Pfam-Entry-PF12103.4	Lipl32
Pfam-PF11582.4	DUF3240
Pfam-PF08964.6	Crystall_3
TAX-249402	Cardinium endosymbiont of Encarsia pergandiella
TAX-1206737	Nocardia pneumoniae
TAX-1406866	Sulfitobacter pontiacus
TAX-883069	Actinomyces europaeus
TAX-638849	Pyramidobacter piscolens
Pfam-PF00217.15	ATP-gua_Ptrans
GO:0008894	guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity
Pfam-PF02685.12	Glucokinase
TAX-3368	Cryptomeria
GO:0030874	nucleolar chromatin
Pfam-PF00311.13	PEPcase
GO:0016298	lipase activity
TAX-33090	Viridiplantae
3Glc-Protopanaxadiol-ginsenosides	a protopanaxadiol-type ginsenoside with one glucosyl residue at position 3
Pfam-Entry-PF13709.2	DUF4159
TAX-418453	Desulfovirgula
GO:0004757	sepiapterin reductase activity
Pfam-PF16896.1	PGDH_C
TAX-131221	Streptophytina
GO:0052564	response to immune response of other organism involved in symbiotic interaction
N4-N-ACETYL-BETA-D-GLUCOSAMINYL-F6	an N<sup>4</sup>-{<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,3)-[<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,4)-[&alpha;-L-fucosyl-(1,6)]-<i>N</i>-acetyl-&beta;-D-glucosaminyl}-L-asparagine-[protein]
TAX-65553	Sulfurospirillum deleyianum
TAX-2270	Thermoproteus
TAX-3754	Prunus
Lipid-A-1-4prime-2-aminoethyl-PP	a lipid A 1,4'-<i>bis</i>(2-aminoethyl diphosphate)
Pyrophosphate-inositol-phosphates	a pyrophosphate-containing inositol phosphate
GO:0043620	regulation of DNA-templated transcription in response to stress
TAX-51196	Syntrophobotulus
GO:0042885	microcin B17 transport
TAX-197562	Pancrustacea
TAX-1169328	Escherichia coli
Pfam-PF04734.9	Ceramidase_alk
Pfam-Entry-PF13702.2	Lysozyme_like
TAX-1042403	Bifidobacterium animalis
ThiI-L-cysteine	a [ThiI sulfur-carrier protein]-L-cysteine
Pfam-PF11131.4	PhrC_PhrF
TAX-573	Klebsiella pneumoniae
Pfam-PF12766.3	Pyridox_oxase_2
TAX-400667	Acinetobacter baumannii
TAX-357544	Helicobacter pylori
TAX-693970	Shewanella baltica
Pfam-Entry-PF07399.7	Na_H_antiport_3
GO:1902209	negative regulation of bacterial-type flagellum assembly
Cytidine-In-Single-Stranded-DNAs	a cytosine in single-stranded DNA
Pfam-PF07313.8	DUF1460
GO:0005345	purine nucleobase transmembrane transporter activity
TAX-28216	Betaproteobacteria
Flavonol-3-O-L-Rham-16-D-Glus	a flavonol 3-O-[&alpha;-L-rhamnosyl-(1->6)-&beta;-D-glucoside]
apo-malonate-decarboxylases	[an <i>apo</i> malonate decarboxylase acyl-carrier protein]
Pfam-PF00383.18	dCMP_cyt_deam_1
GO:0060581	cell fate commitment involved in pattern specification
TAX-44255	Bradyrhizobium oligotrophicum
RNA-Polymerases	an RNA polymerase
TAX-862241	Physalacriaceae
PWY-6400	melatonin degradation III
TAX-114882	Mycoplasma elephantis
TAX-854	Fusobacterium russii
GO:0052730	sarcosine N-methyltransferase activity
TAX-765698	Mesorhizobium ciceri
GO:0051248	negative regulation of protein metabolic process
PWY-5005	biotin biosynthesis II
GO:0047237	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
TAX-432329	Deinococcus peraridilitoris
TAX-857126	Streptococcus mutans
NovH-proteins	a NovH peptidyl-carrier protein
FORMYL-THF-GLU-N	an <i>N</i><sup>10</sup>-formyl-tetrahydrofolate
GO:0032580	Golgi cisterna membrane
GO:0006693	prostaglandin metabolic process
TAX-86858	Phyla <angiosperm>
PWY-6111	mitochondrial L-carnitine shuttle
Pfam-PF14164.2	YqzH
D-glucopyranose-6-phosphate	D-glucopyranose 6-phosphate
TAG-18-3-40-0s	a TAG(18:3/40:0)
GO:0003797	antibacterial peptide activity
Long-Chain-Acyl-ACPs	a long-chain acyl-[acyl-carrier protein]
TAX-1121949	Henriciella marina
TAX-1189611	Nitratireductor aquibiodomus
PWY-5784	indole-3-acetate conjugate biosynthesis II
Pfam-PF06980.7	DUF1302
GO:0060042	retina morphogenesis in camera-type eye
TAX-317025	Thiomicrospira crunogena
Pfam-Entry-PF08376.6	NIT
TAX-941968	Clostridium botulinum
TAX-72556	Achromobacter piechaudii
TAX-179	Leptospirillum
Holder-Class	a nonspecific substrate
Pfam-PF16203.1	ERCC3_RAD25_C
Pfam-PF02780.16	Transketolase_C
Pfam-Entry-PF15944.1	DUF4752
GO:0008193	tRNA guanylyltransferase activity
Folate-Biosynthesis	Folate Biosynthesis
Phosphorylated-beta-phosphoglucomutase	a phosphorylated &beta;-phosphoglucomutase
Pfam-Entry-PF13486.2	Dehalogenase
TAX-293091	Haloquadratum walsbyi
PHOSPHATIDYLINOSITOLS-32-1	a phosphatidylinositol-32:1
CPD-14357	2-oxo-2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetyl-[PKS-acp]
TAX-665938	Bacteroides sp. 2_1_56FAA
Thyroglobulins	a thyroglobulin
Neoflavonoids	a neoflavonoid
TAX-1521258	Equisetidae
Pfam-PF02682.12	AHS1
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
Pfam-Entry-PF01734.18	Patatin
Pfam-Entry-PF04654.8	DUF599
Pfam-Entry-PF04008.10	Adenosine_kin
KDO-Containing-Capsular-Polysaccharides	a capsular polysaccharide with 3-deoxy-D-manno-2-octulosonate
Pfam-Entry-PF10625.5	UspB
Pfam-PF05118.11	Asp_Arg_Hydrox
GO:0019320	hexose catabolic process
GO:0061004	pattern specification involved in kidney development
TAX-43659	Pseudoalteromonas tetraodonis
Pfam-PF02421.14	FeoB_N
Pfam-Entry-PF03589.9	Antiterm
EC-1.3.1	1.3.1 -- With NAD(+) or NADP(+) as acceptor
Pfam-Entry-PF14376.2	Haem_bd
PWY-5060	luteolin biosynthesis
R-3-hydroxydodecanoyl-ACPs	a (<i>3R</i>)-3-hydroxydodecanoyl-[acp]
24-26-N-linked-Glycan	[(2,4),(2,6)]-<i>N</i>-linked glycan
Methyl-Citrate-Cycle	2-Methylcitrate Cycle
TAX-142577	Prauserella
Pfam-Entry-PF04138.10	GtrA
TAX-35024	Crotalus horridus
TAX-867900	Cellulophaga lytica
Pfam-PF03486.10	HI0933_like
Hydroxy-D-Amino-Acids	a hydroxy-D-amino acid
CCO-GOLGI-LUM	Golgi lumen
Pfam-Entry-PF01634.14	HisG
TAX-662	Vibrio
TAX-34098	Blattabacterium
Oxidized-2-4Fe-4S-Ferredoxins	an oxidized 2[4Fe-4s] ferredoxin
GO:0001104	RNA polymerase II transcription cofactor activity
TAX-113286	Pseudoramibacter
TAX-866499	Cloacibacillus evryensis
Pfam-Entry-PF07120.7	DUF1376
GO:0033512	L-lysine catabolic process to acetyl-CoA via saccharopine
TAX-4204	Viburnum
Flavonone-rhamnosyl-glucosides	a flavanone 7-O-[&alpha;-L-rhamnosyl-(1&rarr;2)-&beta;-D-glucoside]
TAX-441152	Burkholderia pseudomallei
Pfam-PF10611.5	DUF2469
TAX-391591	Vibrio shilonii
TAX-130049	Paenibacillus dendritiformis
GO:0015526	hexose-phosphate:inorganic phosphate antiporter activity
Pfam-PF03269.10	DUF268
TAX-592026	Catonella morbi
GO:0019628	urate catabolic process
Pfam-Entry-PF02812.14	ELFV_dehydrog_N
TAX-53161	Lamium galeobdolon
PWY-7194	pyrimidine nucleobases salvage II
Pfam-Entry-PF06197.9	DUF998
GO:0052911	23S rRNA (guanine(745)-N(1))-methyltransferase activity
Pfam-PF02277.13	DBI_PRT
PWY3IU-458	ubiquinone-9 biosynthesis
GO:0019626	short-chain fatty acid catabolic process
TAX-42256	Rubrobacter radiotolerans
GO:0005551	ubiquitin
PWY1A0-6325	actinorhodin biosynthesis
GO:0003962	cystathionine gamma-synthase activity
Pfam-PF06421.8	LepA_C
TAX-565655	Enterococcus casseliflavus
TAX-9612	Canis lupus
Pfam-PF05655.7	AvrD
TAX-1234659	Yersinia pestis
Pfam-Entry-PF05700.7	BCAS2
TAX-76632	Thermobacillus
Pfam-Entry-PF05576.7	Peptidase_S37
GO:0040012	regulation of locomotion
Pfam-PF07449.7	HyaE
PWY-6044	methanesulfonate degradation
TAX-520461	Brucella pinnipedialis
TAX-992122	Helicobacter pylori
TAX-78064	Cetraria islandica
PWY-4121	glutathionylspermidine biosynthesis
Pfam-PF03504.9	Chlam_OMP6
TAX-130426	Allium chinense
TAX-1310114	Mycobacterium tuberculosis
Pfam-PF05908.7	DUF867
CPD-14375	a glycopeptide-D-mannosyl-N<sup>4</sup>-N-acetyl-D-glucosamine
TAX-151276	Bacteroides coprosuis
Pfam-Entry-PF16715.1	CDPS
Pfam-PF13576.2	Pentapeptide_3
Pfam-PF09913.5	DUF2142
PWY-6975	superpathway of erythromycin biosynthesis (without sugar biosynthesis)
TAX-282216	Streptomyces lividus
Pfam-PF00698.17	Acyl_transf_1
TAX-1049565	Klebsiella pneumoniae
CAFFEINE	Caffeine Degradation
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)
TAX-1202536	Candidatus Carsonella ruddii
TAX-253839	Streptomyces sp. C
TAX-192326	Cinnamomum tenuipile
TAX-755731	Clostridium sp. BNL1100
GO:0008023	transcription elongation factor complex
Pfam-PF05693.9	Glycogen_syn
Tetracos-15-enoates	a tetracos-15-enoate
Pfam-Entry-PF04039.9	MnhB
TAX-19	Pelobacter carbinolicus
TAX-1054860	Streptomyces purpureus
Pfam-PF01607.20	CBM_14
Pfam-PF07704.7	PSK_trans_fac
complement-factor-bb	complement factor Bb
PqqA-Proteins	a PqqA peptide
GO:0033969	gamma-glutamyl-gamma-aminobutyrate hydrolase activity
GO:0043781	cobalt-factor II C20-methyltransferase activity
TAX-868188	Escherichia coli
GO:0006140	regulation of nucleotide metabolic process
Pfam-PF14900.2	DUF4493
Pfam-Entry-PF01059.13	Oxidored_q5_N
GO:0043639	benzoate catabolic process
PWY-5644	4-nitrotoluene degradation II
PPGPPMET-PWY	ppGpp biosynthesis
GO:0010817	regulation of hormone levels
Sulfamates	a sulfamate
Pfam-Entry-PF16875.1	Glyco_hydro_36N
Pfam-PF06953.7	ArsD
Pfam-Entry-PF05358.7	DicB
Pfam-Entry-PF14107.2	DUF4280
N-Acylated-Aliphatic-Amino-Acids	an <i>N</i>-acylated aliphatic-L-amino acid
BC-1.6.9	cytoplasmic polysaccharides
Pfam-Entry-PF01694.18	Rhomboid
TAX-762954	Siansivirga zeaxanthinifaciens
TAX-1121123	Brevundimonas aveniformis
GO:0018874	benzoate metabolic process
GO:0008115	sarcosine oxidase activity
PWY-5168	ferulate and sinapate biosynthesis
Pfam-PF06605.7	Prophage_tail
TAX-40545	Sutterella wadsworthensis
Pfam-Entry-PF10126.5	Nit_Regul_Hom
TAX-160621	Lingulodinium polyedrum
TAX-511746	Methylacidiphilum infernorum
GlcNAc-GlcA-Gal-Gal-Xyl-Protein	&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]
PWY-321	cutin biosynthesis
Pfam-Entry-PF13448.2	DUF4114
BMP-ligand-trap	BMP ligand trap
GO:0016167	glial cell-derived neurotrophic factor receptor activity
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
GO:0006963	positive regulation of antibacterial peptide biosynthetic process
TAX-1646516	Microthecium
Oxidized-CycA1-cytochromes	an oxidized CycA1 cytochrome
Pfam-Entry-PF13456.2	RVT_3
TAX-106219	Pectinoidea
TAX-54120	Methanolacinia petrolearia
Pfam-PF13286.2	HD_assoc
Pfam-Entry-PF08391.6	Ly49
Pfam-Entry-PF10678.5	DUF2492
TAX-1121375	Deefgea rivuli
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis
TAX-1121372	Gryllotalpicola ginsengisoli
Pfam-PF15916.1	DUF4743
Cytochromes-CL-Ox	an oxidized cytochrome <i>c</i><sub>L</sub>
CPD-8580	a [calmodulin] L-lysine
TAX-445987	Borrelia valaisiana
Pfam-PF16409.1	DUF5017
Pfam-PF06781.8	UPF0233
GO:0015844	monoamine transport
TAX-451866	Taphrinomycotina
TAX-3693	Populus tremuloides
GO:0004466	long-chain-acyl-CoA dehydrogenase activity
GO:0030484	muscle fiber
GO:0019579	aldaric acid catabolic process
Pfam-Entry-PF02005.12	TRM
ASPARAGINESYN-PWY	asparagine biosynthesis II
Pfam-PF10831.4	DUF2556
Pfam-PF02253.11	PLA1
Pfam-Entry-PF16430.1	DUF5027
Pfam-Entry-PF03136.11	Pup_ligase
PWY-6673	caffeoylglucarate biosynthesis
TAX-411474	Coprococcus eutactus
TAX-929556	Solitalea canadensis
GO:0015031	protein transport
TAX-1028803	Haemophilus haemolyticus
Pfam-PF12320.4	SbcD_C
TAX-122277	Pectobacterium
Pfam-PF16781.1	DUF5068
TAX-946435	Jeotgalicoccus sp. ATCC 8456
TAX-879306	Anaerococcus hydrogenalis
TAX-49324	Candida dendrica
PWY-5260	methanogenesis from methylthiopropanoate
Pfam-PF10110.5	GPDPase_memb
TAX-1169387	Escherichia coli
GO:0004573	mannosyl-oligosaccharide glucosidase activity
TAX-1001589	Leptospira weilii
Pfam-PF14521.2	Aspzincin_M35
Pfam-PF01127.18	Sdh_cyt
Pfam-PF03783.10	CsgG
GO:0007051	spindle organization
TAX-1121271	Gemmobacter nectariphilus
TAX-1297	Deinococcus-Thermus
PWY-5285	sulfide oxidation III (persulfide dioxygenase)
PLANT-HORMONE-DEG	Plant Hormones Degradation
TAX-523864	Bacilloidea
GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
Pfam-PF02146.13	SIR2
TAX-85817	Neuropterida
Dihydrocarveols	a dihydrocarveol
Pfam-PF13503.2	DUF4123
Oligosaccharides	an oligosaccharide
GO:0015983	symport
Pfam-Entry-PF13763.2	DUF4167
Pfam-Entry-PF16153.1	DUF4861
TAX-1888	Streptomyces albus
TAX-1071779	Chlamydia trachomatis
TAX-93372	Streptomyces sp. CL190
Pfam-Entry-PF01834.12	XRCC1_N
ASPARAGINE-DEG1-PWY-1	asparagine degradation III (mammalian)
Pfam-Entry-PF12615.4	TraD_N
Gamma-lactones	a &gamma;-lactone
Pfam-Entry-PF03956.9	DUF340
GO:0006398	histone mRNA 3'-end processing
GO:0072202	cell differentiation involved in metanephros development
TAX-183967	Thermoplasmata
GO:0032012	regulation of ARF protein signal transduction
TAX-189775	Thermomicrobia <class>
Pfam-Entry-PF15599.2	Imm63
PWY-6084	3,5-dichlorocatechol degradation
Pfam-Entry-PF07467.7	BLIP
GO:0051647	nucleus localization
TAX-91359	Enterovibrio calviensis
GO:2000143	negative regulation of DNA-templated transcription, initiation
TAX-498738	Borrelia burgdorferi
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzing)
ORG-6209	Cladosporium sp. G-10
Pfam-PF09025.6	T3SS_needle_reg
TAX-797303	Natrinema pellirubrum
Pfam-Entry-PF07739.9	TipAS
TAX-178469	Arenibacter
TAX-13567	Hexamita
Pfam-Entry-PF10053.5	DUF2290
TAX-33012	Propionimicrobium lymphophilum
TAX-394566	Ferrimonas senticii
PWY-5078	isoleucine degradation II
TAX-1346	Streptococcus iniae
TAX-221287	Mastigocladopsis repens
GO:0004368	glycerol-3-phosphate dehydrogenase activity
PWY-5655	tryptophan degradation IX
Pfam-PF11248.4	DUF3046
5-HYDROXYU34-TRNA	a 5-hydroxyuridine<sup>34</sup> in tRNA
Pfam-Entry-PF00958.18	GMP_synt_C
GO:0051336	regulation of hydrolase activity
Pfam-Entry-PF01667.13	Ribosomal_S27e
GO:0009203	ribonucleoside triphosphate catabolic process
TAX-9031	Gallus gallus
Pfam-PF09996.5	DUF2237
Pfam-Entry-PF08305.7	NPCBM
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage
GO:0009427	bacterial-type flagellum basal body, distal rod, L ring
Pfam-Entry-PF14352.2	DUF4402
GO:0030694	bacterial-type flagellum basal body, rod
TAX-2057	Sphaerobacter thermophilus
Pfam-Entry-PF13622.2	4HBT_3
TAX-324767	Bacillus infantis
TAX-1465756	Peptoniphilus grossensis
TAX-2172	Methanobrevibacter
Pfam-Entry-PF04955.8	HupE_UreJ
Pfam-PF01418.13	HTH_6
Pfam-Entry-PF13255.2	DUF4046
Pfam-Entry-PF16587.1	DUF5061
GO:0044282	small molecule catabolic process
GO:0032784	regulation of DNA-dependent transcription, elongation
C34-Botryococcenes	a C34 botryococcenes
TAX-453816	Bdellovibrio exovorus
PE-32-2	a phosphatidylethanolamine-32:2
PWY-5268	salvianin biosynthesis
GO:0009913	epidermal cell differentiation
Pfam-PF10965.4	DUF2767
TAX-28123	Porphyromonas asaccharolytica
Pfam-Entry-PF09559.6	Cas6
TAX-102897	Frankia sp. EUN1f
TAX-675808	Vibrio cholerae
Pfam-PF04052.9	TolB_N
TAX-524	Acidiphilium cryptum
BSUBPHENYLSYN-PWY	phenylalanine biosynthesis II
TAX-657314	Blautia obeum
GO:0019296	coenzyme M metabolic process
Pfam-Entry-PF03080.11	DUF239
TAX-309799	Dictyoglomus thermophilum
TAX-5656	Crithidia fasciculata
Pfam-PF01364.14	Peptidase_C25
PWY-6012-1	acyl carrier protein metabolism II
GO:0004217	cathepsin L activity
Pfam-Entry-PF16937.1	T3SS_HrpK1
GO:0016138	glycoside biosynthetic process
Pfam-Entry-PF02670.12	DXP_reductoisom
TAX-101191	Methanomethylovorans
tRNA-Containing-N2-Dimethylgua-26-Gua27	<i>N</i><sup>2</sup> dimethylguanine<sup>26</sup>/guanine<sup>27</sup> in tRNA
Pfam-Entry-PF09861.5	DUF2088
GO:0048229	gametophyte development
GO:0050446	azobenzene reductase activity
Pfam-Entry-PF02146.13	SIR2
ACETYLNEURAMINYL-23-BETA-D-GALACTOSYL-ET	&alpha;-<i>N</i>-acetylneuraminyl-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-glucosylceramide
Pfam-Entry-PF05043.9	Mga
TAX-563037	Streptococcus sp. M143
Carotenoid-epsilon-end-group	a carotenoid &epsilon;-end group
Pfam-PF04102.8	SlyX
Pfam-PF06977.7	SdiA-regulated
TAX-1117647	Simiduia agarivorans
N-Substituted-Amino-Acids	an <i>N</i>-modified amino acid
GO:0050379	UDP-glucuronate 5'-epimerase activity
Pfam-Entry-PF09233.7	Endonuc-EcoRV
TAX-992011	Vibrio sp. HENC-02
TAX-1525	Moorella thermoacetica
TAX-56690	Tritrichomonas suis
PWY-5521	L-ascorbate biosynthesis III
GO:0045152	antisigma factor binding
PWY-6529	chlorate reduction
GO:0001934	positive regulation of protein phosphorylation
TAX-38582	Leishmania mexicana species complex
TAX-670890	Escherichia coli
Pfam-Entry-PF03403.9	PAF-AH_p_II
GO:0008525	phosphatidylcholine transporter activity
TAX-56112	Dehalobacter
TAX-87677	Eucalyptus piperita
GO:0004796	thromboxane-A synthase activity
Pfam-Entry-PF10647.5	Gmad1
BC-1.5.3.7	nicotinamide adenine dinucleotide
TAX-1223565	Rhizobium sp. Pop5
Pfam-Entry-PF08014.7	DUF1704
TAX-620	Shigella
Pfam-Entry-PF16570.1	GramPos_pilinD3
GO:0015113	nitrite transmembrane transporter activity
GO:0015530	shikimate transmembrane transporter activity
TAX-1123241	Nakamurella lactea
Pfam-PF16458.1	Beta-prism_lec
Pfam-Entry-PF07934.8	OGG_N
Pfam-Entry-PF10150.5	RNase_E_G
TAX-3831	Cyamopsis
Pfam-PF01905.12	DevR
TAX-912594	Mycobacterium iranicum
TAX-67825	Citrobacter rodentium
TAX-426371	Algoriphagus vanfongensis
TAX-1075086	Chlamydia trachomatis
TAX-5021	Leptosphaeria
TAX-1215104	Pseudomonas japonica
TAX-577309	Paraprevotella
TAX-796737	Salmonella enterica
GO:0042651	thylakoid membrane
Pfam-Entry-PF01927.12	Mut7-C
TAX-585394	Roseburia hominis
TAX-335795	unclassified Lambda-like viruses
PWY1UA-4	proline degradation
Inulin	an inulin
TAX-1744	Propionibacterium freudenreichii
PWY-6793	demethylmenaquinol-8 biosynthesis III
Sulfolactate-Degradation	Sulfolactate Degradation
TAX-1123405	Tuberibacillus calidus
Pfam-Entry-PF14700.2	RPOL_N
Pfam-PF13516.2	LRR_6
Pfam-PF09455.6	Cas_DxTHG
TAX-745004	SAR92 clade
TAX-511145	Escherichia coli
TAX-1120938	Actinomadura flavalba
TAX-1204725	Methanobacterium formicicum
GO:0004258	vacuolar carboxypeptidase Y
TAX-2206	Methanosarcinaceae
Pfam-Entry-PF02421.14	FeoB_N
GO:0001632	leukotriene B4 receptor activity
GO:0005597	collagen type XVI
Pfam-Entry-PF04060.9	FeS
3-phenyllactic-acid-Modifications	3-phenyllactic acid
trans-3-cis-5-dienoyl-CoA	a <i>trans</i>3,<i>cis</i>-5-dienoyl-CoA
GO:1903508	positive regulation of nucleic acid-templated transcription
TAX-3221	Dicranum
Cyanophycin-aspartate	[cyanophycin]-L-aspartate
TAX-1335483	Shimwellia
TAX-1122599	Neptunomonas japonica
TAX-1227494	Natrinema altunense
Pfam-Entry-PF00412.18	LIM
GO:0030979	alpha-glucan biosynthetic process
Pfam-PF16365.1	EutK_C
Pfam-PF11903.4	ParD_like
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity
Pfam-Entry-PF09048.6	Cro
GO:0070397	wall teichoic acid metabolic process
TAX-13363	Borago officinalis
Pfam-PF03484.11	B5
GO:0016206	catechol O-methyltransferase activity
GO:0008860	ferredoxin-NAD+ reductase activity
Pfam-PF13103.2	TonB_2
GO:0009271	phage shock
TAX-35925	Diospyros kaki
GO:0001504	neurotransmitter uptake
Pfam-Entry-PF01076.15	Mob_Pre
GO:0015856	cytosine transport
Pfam-PF12771.3	SusD-like_2
Aromatic-Amino-Acids	an aromatic amino acid
Pfam-PF12452.4	DUF3685
GO:0006749	glutathione metabolic process
GO:0051348	negative regulation of transferase activity
Pfam-Entry-PF16403.1	DUF5011
Pfam-Entry-PF11157.4	DUF2937
GO:0004274	dipeptidyl-peptidase IV activity
GO:1901363	heterocyclic compound binding
GO:0000123	histone acetyltransferase complex
GO:0047113	aldehyde dehydrogenase (pyrroloquinoline-quinone) activity
GO:0042399	ectoine metabolic process
Pfam-PF16242.1	Pyrid_ox_like
Phosphatidylserines-36-2	phosphatidylserine-36:2
CHITOBIOSE	<i>N</i>,<i>N'</i>-diacetylchitobiose
Pfam-Entry-PF02452.13	PemK_toxin
GO:0005684	U2-type spliceosomal complex
TAX-872327	Lactobacillus pasteurii
Pfam-Entry-PF13946.2	DUF4214
GO:0008360	regulation of cell shape
FERRICYTOCHROME-B5	a ferricytochrome <i>b<sub>5</sub></i>
TAX-92712	Simkaniaceae
Pfam-Entry-PF01259.14	SAICAR_synt
Pfam-Entry-PF07637.7	PSD5
Pfam-PF14871.2	GHL6
GO:0005586	collagen type III
GO:0015542	sugar efflux transmembrane transporter activity
GO:0050038	L-xylulose reductase (NADP+) activity
GO:0015054	gastrin receptor activity
TAX-1169376	Escherichia coli
Pfam-Entry-PF05137.9	PilN
Pfam-Entry-PF09697.6	Porph_ging
GO:0050768	negative regulation of neurogenesis
GO:0046219	indolalkylamine biosynthetic process
GO:0043462	regulation of ATPase activity
Energy-Metabolism	Generation of Precursor Metabolites and Energy
Pfam-Entry-PF03305.9	Lipoprotein_X
TAX-936476	Marinomonas posidonica
Pfam-Entry-PF08881.6	CVNH
TAX-1159083	Streptococcus pneumoniae
TAX-43759	Streptomyces wedmorensis
TAX-679202	Escherichia coli
GO:0002703	regulation of leukocyte mediated immunity
TAX-4069	Solanales
GO:0005017	platelet-derived growth factor-activated receptor activity
TAX-388747	unclassified Verrucomicrobiales (miscellaneous)
GO:0019402	galactitol metabolic process
Pfam-Entry-PF16375.1	DUF4986
GO:0045819	positive regulation of glycogen catabolic process
TAX-3870	Lupinus albus
TAX-85023	Microbacteriaceae
TAX-1648030	Triticinae
Pfam-Entry-PF13470.2	PIN_3
TAX-566461	Streptomyces ghanaensis
GO:0070470	plasma membrane respiratory chain
GO:0004564	beta-fructofuranosidase activity
TAX-326427	Chloroflexus aggregans
TAX-760837	Streptococcus pneumoniae
GO:0098531	direct ligand regulated sequence-specific DNA binding transcription factor activity
TAX-880724	Methanotorris igneus
TAX-1121013	Arenimonas composti
Pfam-PF02543.11	Carbam_trans_N
GO:0003910	DNA ligase (ATP) activity
TAX-300275	Lachancea
GO:0006747	FAD biosynthetic process
TAX-1886	Streptomyces albidoflavus
ORG-6095	Pseudomonas pseudoalcaligenes
GO:0046963	3'-phosphoadenosine 5'-phosphosulfate transport
GO:0004837	tyrosine decarboxylase activity
TAX-634498	Methanobrevibacter ruminantium
Pfam-Entry-PF17000.1	Asp5
TAX-171283	Mycoplasma cricetuli
Pfam-Entry-PF04357.9	DUF490
GO:0007206	phospholipase C-activating G-protein coupled glutamate receptor signaling pathway
GO:0001561	fatty acid alpha-oxidation
GO:0004086	carbamoyl-phosphate synthase activity
TAX-760820	Streptococcus pneumoniae
TAX-240236	Woodsholea
Pfam-PF13481.2	AAA_25
TAX-282459	Staphylococcus aureus
GO:0044391	ribosomal subunit
TAX-669260	Mannheimia haemolytica
Pfam-Entry-PF00025.17	Arf
Pfam-PF06530.8	Phage_antitermQ
TAX-1001591	Leptospira interrogans
PWY1UA-16	methylenomycin furan biosynthesis
TAX-1051067	Doryteuthis pealeii
TAX-913076	Salmonella enterica
Pfam-PF13204.2	DUF4038
TAX-1407	Bacillus psychrosaccharolyticus
Neomycins	a neomycin
TAX-32002	Achromobacter denitrificans
TAX-935697	Corynebacterium pseudotuberculosis
Pfam-Entry-PF08345.7	YscJ_FliF_C
TAX-626930	Bacteroides fluxus
